/* Field profile:
/*    z Bz(axis)    rFT Bz(rmax)   rout Bz(rmax)
 0.9776 0.157837 0.0954 0.157777 0.1432 0.157705
 0.9826 0.157809 0.0955 0.157751 0.1432 0.157682
 0.9876 0.157782 0.0955 0.157726 0.1432 0.157658
 0.9926 0.157756 0.0955 0.157701 0.1432 0.157635
 0.9976 0.157731 0.0955 0.157677 0.1432 0.157613
 1.0026 0.157706 0.0955 0.157653 0.1432 0.157591
 1.0076 0.157681 0.0955 0.157630 0.1432 0.157570
 1.0126 0.157657 0.0955 0.157608 0.1433 0.157549
 1.0176 0.157634 0.0955 0.157586 0.1433 0.157529
 1.0226 0.157611 0.0955 0.157565 0.1433 0.157509
 1.0276 0.157589 0.0955 0.157544 0.1433 0.157489
 1.0326 0.157567 0.0955 0.157523 0.1433 0.157470
 1.0376 0.157546 0.0955 0.157503 0.1433 0.157451
 1.0426 0.157525 0.0955 0.157483 0.1433 0.157433
 1.0476 0.157505 0.0955 0.157464 0.1433 0.157415
 1.0526 0.157485 0.0956 0.157446 0.1433 0.157398
 1.0576 0.157466 0.0956 0.157427 0.1433 0.157381
 1.0626 0.157447 0.0956 0.157409 0.1433 0.157364
 1.0676 0.157429 0.0956 0.157392 0.1434 0.157347
 1.0726 0.157410 0.0956 0.157375 0.1434 0.157331
 1.0776 0.157393 0.0956 0.157358 0.1434 0.157316
 1.0826 0.157375 0.0956 0.157341 0.1434 0.157300
 1.0876 0.157359 0.0956 0.157325 0.1434 0.157285
 1.0926 0.157342 0.0956 0.157310 0.1434 0.157271
 1.0976 0.157326 0.0956 0.157294 0.1434 0.157256
 1.1026 0.157310 0.0956 0.157279 0.1434 0.157242
 1.1076 0.157294 0.0956 0.157264 0.1434 0.157228
 1.1126 0.157279 0.0956 0.157250 0.1434 0.157215
 1.1176 0.157264 0.0956 0.157236 0.1434 0.157201
 1.1226 0.157250 0.0956 0.157222 0.1434 0.157188
 1.1276 0.157236 0.0956 0.157208 0.1434 0.157176
 1.1326 0.157222 0.0956 0.157195 0.1434 0.157163
 1.1376 0.157208 0.0956 0.157182 0.1434 0.157151
 1.1426 0.157195 0.0956 0.157170 0.1435 0.157139
 1.1476 0.157182 0.0956 0.157157 0.1435 0.157127
 1.1526 0.157169 0.0956 0.157145 0.1435 0.157116
 1.1576 0.157156 0.0956 0.157133 0.1435 0.157105
 1.1626 0.157144 0.0957 0.157121 0.1435 0.157094
 1.1676 0.157132 0.0957 0.157110 0.1435 0.157083
 1.1726 0.157120 0.0957 0.157099 0.1435 0.157072
 1.1776 0.157109 0.0957 0.157088 0.1435 0.157062
 1.1826 0.157098 0.0957 0.157077 0.1435 0.157052
 1.1876 0.157087 0.0957 0.157066 0.1435 0.157042
 1.1926 0.157076 0.0957 0.157056 0.1435 0.157032
 1.1976 0.157065 0.0957 0.157046 0.1435 0.157022
 1.2026 0.157055 0.0957 0.157036 0.1435 0.157013
 1.2076 0.157045 0.0957 0.157026 0.1435 0.157004
 1.2126 0.157035 0.0957 0.157017 0.1435 0.156995
 1.2176 0.157025 0.0957 0.157007 0.1435 0.156986
 1.2226 0.157015 0.0957 0.156998 0.1435 0.156977
 1.2276 0.157006 0.0957 0.156989 0.1435 0.156969
 1.2326 0.156997 0.0957 0.156980 0.1435 0.156960
 1.2376 0.156988 0.0957 0.156972 0.1435 0.156952
 1.2426 0.156979 0.0957 0.156963 0.1435 0.156944
 1.2476 0.156970 0.0957 0.156955 0.1435 0.156936
 1.2526 0.156962 0.0957 0.156947 0.1436 0.156929
 1.2576 0.156953 0.0957 0.156939 0.1436 0.156921
 1.2626 0.156945 0.0957 0.156931 0.1436 0.156914
 1.2676 0.156937 0.0957 0.156923 0.1436 0.156906
 1.2726 0.156929 0.0957 0.156916 0.1436 0.156899
 1.2776 0.156922 0.0957 0.156908 0.1436 0.156892
 1.2826 0.156914 0.0957 0.156901 0.1436 0.156885
 1.2876 0.156907 0.0957 0.156894 0.1436 0.156878
 1.2926 0.156899 0.0957 0.156887 0.1436 0.156872
 1.2976 0.156892 0.0957 0.156880 0.1436 0.156865
 1.3026 0.156885 0.0957 0.156873 0.1436 0.156859
 1.3076 0.156878 0.0957 0.156867 0.1436 0.156852
 1.3126 0.156872 0.0957 0.156860 0.1436 0.156846
 1.3176 0.156865 0.0957 0.156854 0.1436 0.156840
 1.3226 0.156858 0.0957 0.156847 0.1436 0.156834
 1.3276 0.156852 0.0957 0.156841 0.1436 0.156828
 1.3326 0.156846 0.0957 0.156835 0.1436 0.156823
 1.3376 0.156840 0.0957 0.156829 0.1436 0.156817
 1.3426 0.156834 0.0957 0.156824 0.1436 0.156811
 1.3476 0.156828 0.0957 0.156818 0.1436 0.156806
 1.3526 0.156822 0.0957 0.156812 0.1436 0.156801
 1.3576 0.156816 0.0957 0.156807 0.1436 0.156795
 1.3626 0.156811 0.0958 0.156801 0.1436 0.156790
 1.3676 0.156805 0.0958 0.156796 0.1436 0.156785
 1.3726 0.156800 0.0958 0.156791 0.1436 0.156780
 1.3776 0.156794 0.0958 0.156786 0.1436 0.156775
 1.3826 0.156789 0.0958 0.156781 0.1436 0.156770
 1.3876 0.156784 0.0958 0.156776 0.1436 0.156766
 1.3926 0.156779 0.0958 0.156771 0.1436 0.156761
 1.3976 0.156774 0.0958 0.156766 0.1436 0.156757
 1.4026 0.156769 0.0958 0.156762 0.1436 0.156752
 1.4076 0.156765 0.0958 0.156757 0.1436 0.156748
 1.4126 0.156760 0.0958 0.156752 0.1436 0.156743
 1.4176 0.156755 0.0958 0.156748 0.1436 0.156739
 1.4226 0.156751 0.0958 0.156744 0.1436 0.156735
 1.4276 0.156746 0.0958 0.156739 0.1436 0.156731
 1.4326 0.156742 0.0958 0.156735 0.1436 0.156727
 1.4376 0.156738 0.0958 0.156731 0.1437 0.156723
 1.4426 0.156734 0.0958 0.156727 0.1437 0.156719
 1.4476 0.156729 0.0958 0.156723 0.1437 0.156715
 1.4526 0.156725 0.0958 0.156719 0.1437 0.156711
 1.4576 0.156721 0.0958 0.156715 0.1437 0.156708
 1.4626 0.156718 0.0958 0.156711 0.1437 0.156704
 1.4676 0.156714 0.0958 0.156708 0.1437 0.156700
 1.4726 0.156710 0.0958 0.156704 0.1437 0.156697
 1.4776 0.156706 0.0958 0.156700 0.1437 0.156693
 1.4826 0.156703 0.0958 0.156697 0.1437 0.156690
 1.4876 0.156699 0.0958 0.156693 0.1437 0.156687
 1.4926 0.156695 0.0958 0.156690 0.1437 0.156683
 1.4976 0.156692 0.0958 0.156687 0.1437 0.156680
 1.5026 0.156688 0.0958 0.156683 0.1437 0.156677
 1.5076 0.156685 0.0958 0.156680 0.1437 0.156674
 1.5126 0.156682 0.0958 0.156677 0.1437 0.156671
 1.5176 0.156679 0.0958 0.156674 0.1437 0.156668
 1.5226 0.156675 0.0958 0.156671 0.1437 0.156665
 1.5276 0.156672 0.0958 0.156668 0.1437 0.156662
 1.5326 0.156669 0.0958 0.156665 0.1437 0.156659
 1.5376 0.156666 0.0958 0.156662 0.1437 0.156656
 1.5426 0.156663 0.0958 0.156659 0.1437 0.156653
 1.5476 0.156660 0.0958 0.156656 0.1437 0.156650
 1.5526 0.156657 0.0958 0.156653 0.1437 0.156648
 1.5576 0.156654 0.0958 0.156650 0.1437 0.156645
 1.5626 0.156652 0.0958 0.156648 0.1437 0.156642
 1.5676 0.156649 0.0958 0.156645 0.1437 0.156640
 1.5726 0.156646 0.0958 0.156642 0.1437 0.156637
 1.5776 0.156644 0.0958 0.156640 0.1437 0.156635
 1.5826 0.156641 0.0958 0.156637 0.1437 0.156632
 1.5876 0.156638 0.0958 0.156635 0.1437 0.156630
 1.5926 0.156636 0.0958 0.156632 0.1437 0.156628
 1.5976 0.156633 0.0958 0.156630 0.1437 0.156625
 1.6026 0.156631 0.0958 0.156627 0.1437 0.156623
 1.6076 0.156628 0.0958 0.156625 0.1437 0.156621
 1.6126 0.156626 0.0958 0.156623 0.1437 0.156618
 1.6176 0.156624 0.0958 0.156620 0.1437 0.156616
 1.6226 0.156621 0.0958 0.156618 0.1437 0.156614
 1.6276 0.156619 0.0958 0.156616 0.1437 0.156612
 1.6326 0.156617 0.0958 0.156614 0.1437 0.156610
 1.6376 0.156615 0.0958 0.156612 0.1437 0.156608
 1.6426 0.156613 0.0958 0.156610 0.1437 0.156606
 1.6476 0.156610 0.0958 0.156607 0.1437 0.156604
 1.6526 0.156608 0.0958 0.156605 0.1437 0.156602
 1.6576 0.156606 0.0958 0.156603 0.1437 0.156600
 1.6626 0.156604 0.0958 0.156601 0.1437 0.156598
 1.6676 0.156602 0.0958 0.156599 0.1437 0.156596
 1.6726 0.156600 0.0958 0.156598 0.1437 0.156594
 1.6776 0.156598 0.0958 0.156596 0.1437 0.156592
 1.6826 0.156596 0.0958 0.156594 0.1437 0.156591
 1.6876 0.156595 0.0958 0.156592 0.1437 0.156589
 1.6926 0.156593 0.0958 0.156590 0.1437 0.156587
 1.6976 0.156591 0.0958 0.156588 0.1437 0.156585
 1.7026 0.156589 0.0958 0.156587 0.1437 0.156584
 1.7076 0.156587 0.0958 0.156585 0.1437 0.156582
 1.7126 0.156586 0.0958 0.156583 0.1437 0.156580
 1.7176 0.156584 0.0958 0.156582 0.1437 0.156579
 1.7226 0.156582 0.0958 0.156580 0.1437 0.156577
 1.7276 0.156581 0.0958 0.156578 0.1437 0.156576
 1.7326 0.156579 0.0958 0.156577 0.1437 0.156574
 1.7376 0.156577 0.0958 0.156575 0.1437 0.156572
 1.7426 0.156576 0.0958 0.156574 0.1437 0.156571
 1.7476 0.156574 0.0958 0.156572 0.1437 0.156569
 1.7526 0.156573 0.0958 0.156571 0.1437 0.156568
 1.7576 0.156571 0.0958 0.156569 0.1437 0.156567
 1.7626 0.156570 0.0958 0.156568 0.1437 0.156565
 1.7676 0.156568 0.0958 0.156566 0.1437 0.156564
 1.7726 0.156567 0.0958 0.156565 0.1437 0.156562
 1.7776 0.156565 0.0958 0.156563 0.1437 0.156561
 1.7826 0.156564 0.0958 0.156562 0.1437 0.156560
 1.7876 0.156563 0.0958 0.156561 0.1437 0.156558
 1.7926 0.156561 0.0958 0.156559 0.1437 0.156557
 1.7976 0.156560 0.0958 0.156558 0.1437 0.156556
 1.8026 0.156559 0.0958 0.156557 0.1437 0.156555
 1.8076 0.156557 0.0958 0.156555 0.1437 0.156553
 1.8126 0.156556 0.0958 0.156554 0.1437 0.156552
 1.8176 0.156555 0.0958 0.156553 0.1437 0.156551
 1.8226 0.156553 0.0958 0.156552 0.1437 0.156550
 1.8276 0.156552 0.0958 0.156551 0.1437 0.156549
 1.8326 0.156551 0.0958 0.156549 0.1437 0.156547
 1.8376 0.156550 0.0958 0.156548 0.1437 0.156546
 1.8426 0.156549 0.0958 0.156547 0.1437 0.156545
 1.8476 0.156547 0.0958 0.156546 0.1437 0.156544
 1.8526 0.156546 0.0958 0.156545 0.1437 0.156543
 1.8576 0.156545 0.0958 0.156544 0.1437 0.156542
 1.8626 0.156544 0.0958 0.156543 0.1437 0.156541
 1.8676 0.156543 0.0958 0.156542 0.1437 0.156540
 1.8726 0.156542 0.0958 0.156541 0.1437 0.156539
 1.8776 0.156541 0.0958 0.156539 0.1437 0.156538
 1.8826 0.156540 0.0958 0.156538 0.1437 0.156537
 1.8876 0.156539 0.0958 0.156537 0.1437 0.156536
 1.8926 0.156538 0.0958 0.156536 0.1437 0.156535
 1.8976 0.156537 0.0958 0.156535 0.1437 0.156534
 1.9026 0.156536 0.0958 0.156535 0.1437 0.156533
 1.9076 0.156535 0.0958 0.156534 0.1437 0.156532
 1.9126 0.156534 0.0958 0.156533 0.1437 0.156531
 1.9176 0.156533 0.0958 0.156532 0.1437 0.156530
 1.9226 0.156532 0.0958 0.156531 0.1437 0.156529
 1.9276 0.156531 0.0958 0.156530 0.1437 0.156528
 1.9326 0.156530 0.0958 0.156529 0.1437 0.156528
 1.9376 0.156529 0.0958 0.156528 0.1437 0.156527
 1.9426 0.156528 0.0958 0.156527 0.1437 0.156526
 1.9476 0.156528 0.0958 0.156526 0.1437 0.156525
 1.9526 0.156527 0.0958 0.156526 0.1437 0.156524
 1.9576 0.156526 0.0958 0.156525 0.1437 0.156523
 1.9626 0.156525 0.0958 0.156524 0.1437 0.156523
 1.9676 0.156524 0.0958 0.156523 0.1437 0.156522
 1.9726 0.156524 0.0958 0.156522 0.1437 0.156521
 1.9776 0.156523 0.0958 0.156522 0.1437 0.156520
 1.9826 0.156522 0.0958 0.156521 0.1437 0.156520
 1.9876 0.156521 0.0958 0.156520 0.1437 0.156519
 1.9926 0.156520 0.0958 0.156519 0.1437 0.156518
 1.9976 0.156520 0.0958 0.156519 0.1437 0.156517
 2.0026 0.156519 0.0958 0.156518 0.1437 0.156517
 2.0076 0.156518 0.0958 0.156517 0.1437 0.156516
 2.0126 0.156518 0.0958 0.156517 0.1437 0.156515
 2.0176 0.156517 0.0958 0.156516 0.1438 0.156515
 2.0226 0.156516 0.0958 0.156515 0.1438 0.156514
 2.0276 0.156515 0.0958 0.156515 0.1438 0.156513
 2.0326 0.156515 0.0958 0.156514 0.1438 0.156513
 2.0376 0.156514 0.0958 0.156513 0.1438 0.156512
 2.0426 0.156513 0.0958 0.156513 0.1438 0.156512
 2.0476 0.156513 0.0958 0.156512 0.1438 0.156511
 2.0526 0.156512 0.0958 0.156511 0.1438 0.156510
 2.0576 0.156512 0.0958 0.156511 0.1438 0.156510
 2.0626 0.156511 0.0958 0.156510 0.1438 0.156509
 2.0676 0.156510 0.0958 0.156510 0.1438 0.156509
 2.0726 0.156510 0.0958 0.156509 0.1438 0.156508
 2.0776 0.156509 0.0958 0.156508 0.1438 0.156507
 2.0826 0.156509 0.0958 0.156508 0.1438 0.156507
 2.0876 0.156508 0.0958 0.156507 0.1438 0.156506
 2.0926 0.156507 0.0958 0.156507 0.1438 0.156506
 2.0976 0.156507 0.0958 0.156506 0.1438 0.156505
 2.1026 0.156506 0.0958 0.156506 0.1438 0.156505
 2.1076 0.156506 0.0958 0.156505 0.1438 0.156504
 2.1126 0.156505 0.0958 0.156505 0.1438 0.156504
 2.1176 0.156505 0.0958 0.156504 0.1438 0.156503
 2.1226 0.156504 0.0958 0.156504 0.1438 0.156503
 2.1276 0.156504 0.0958 0.156503 0.1438 0.156502
 2.1326 0.156503 0.0958 0.156503 0.1438 0.156502
 2.1376 0.156503 0.0958 0.156502 0.1438 0.156501
 2.1426 0.156502 0.0958 0.156502 0.1438 0.156501
 2.1476 0.156502 0.0958 0.156501 0.1438 0.156500
 2.1526 0.156501 0.0958 0.156501 0.1438 0.156500
 2.1576 0.156501 0.0958 0.156500 0.1438 0.156499
 2.1626 0.156501 0.0958 0.156500 0.1438 0.156499
 2.1676 0.156500 0.0958 0.156499 0.1438 0.156499
 2.1726 0.156500 0.0958 0.156499 0.1438 0.156498
 2.1776 0.156499 0.0958 0.156499 0.1438 0.156498
 2.1826 0.156499 0.0958 0.156498 0.1438 0.156497
 2.1876 0.156498 0.0958 0.156498 0.1438 0.156497
 2.1926 0.156498 0.0958 0.156497 0.1438 0.156497
 2.1976 0.156498 0.0958 0.156497 0.1438 0.156496
 2.2026 0.156497 0.0958 0.156497 0.1438 0.156496
 2.2076 0.156497 0.0958 0.156496 0.1438 0.156495
 2.2126 0.156496 0.0958 0.156496 0.1438 0.156495
 2.2176 0.156496 0.0958 0.156495 0.1438 0.156495
 2.2226 0.156496 0.0958 0.156495 0.1438 0.156494
 2.2276 0.156495 0.0958 0.156495 0.1438 0.156494
 2.2326 0.156495 0.0958 0.156494 0.1438 0.156494
 2.2376 0.156495 0.0958 0.156494 0.1438 0.156493
 2.2426 0.156494 0.0958 0.156494 0.1438 0.156493
 2.2476 0.156494 0.0958 0.156493 0.1438 0.156493
 2.2526 0.156494 0.0958 0.156493 0.1438 0.156492
 2.2576 0.156493 0.0958 0.156493 0.1438 0.156492
 2.2626 0.156493 0.0958 0.156492 0.1438 0.156492
 2.2676 0.156493 0.0958 0.156492 0.1438 0.156492
 2.2726 0.156492 0.0958 0.156492 0.1438 0.156491
 2.2776 0.156492 0.0958 0.156492 0.1438 0.156491
 2.2826 0.156492 0.0958 0.156491 0.1438 0.156491
 2.2876 0.156492 0.0958 0.156491 0.1438 0.156490
 2.2926 0.156491 0.0958 0.156491 0.1438 0.156490
 2.2976 0.156491 0.0958 0.156490 0.1438 0.156490
 2.3026 0.156491 0.0958 0.156490 0.1438 0.156490
 2.3076 0.156490 0.0958 0.156490 0.1438 0.156489
 2.3126 0.156490 0.0958 0.156490 0.1438 0.156489
 2.3176 0.156490 0.0958 0.156489 0.1438 0.156489
 2.3226 0.156490 0.0958 0.156489 0.1438 0.156489
 2.3276 0.156489 0.0958 0.156489 0.1438 0.156488
 2.3326 0.156489 0.0958 0.156489 0.1438 0.156488
 2.3376 0.156489 0.0958 0.156489 0.1438 0.156488
 2.3426 0.156489 0.0958 0.156488 0.1438 0.156488
 2.3476 0.156489 0.0958 0.156488 0.1438 0.156487
 2.3526 0.156488 0.0958 0.156488 0.1438 0.156487
 2.3576 0.156488 0.0958 0.156488 0.1438 0.156487
 2.3626 0.156488 0.0958 0.156487 0.1438 0.156487
 2.3676 0.156488 0.0958 0.156487 0.1438 0.156487
 2.3726 0.156488 0.0958 0.156487 0.1438 0.156486
 2.3776 0.156487 0.0958 0.156487 0.1438 0.156486
 2.3826 0.156487 0.0958 0.156487 0.1438 0.156486
 2.3876 0.156487 0.0958 0.156487 0.1438 0.156486
 2.3926 0.156487 0.0958 0.156486 0.1438 0.156486
 2.3976 0.156487 0.0958 0.156486 0.1438 0.156486
 2.4026 0.156487 0.0958 0.156486 0.1438 0.156485
 2.4076 0.156486 0.0958 0.156486 0.1438 0.156485
 2.4126 0.156486 0.0958 0.156486 0.1438 0.156485
 2.4176 0.156486 0.0958 0.156486 0.1438 0.156485
 2.4226 0.156486 0.0958 0.156485 0.1438 0.156485
 2.4276 0.156486 0.0958 0.156485 0.1438 0.156485
 2.4326 0.156486 0.0958 0.156485 0.1438 0.156485
 2.4376 0.156486 0.0958 0.156485 0.1438 0.156485
 2.4426 0.156485 0.0958 0.156485 0.1438 0.156484
 2.4476 0.156485 0.0958 0.156485 0.1438 0.156484
 2.4526 0.156485 0.0958 0.156485 0.1438 0.156484
 2.4576 0.156485 0.0958 0.156485 0.1438 0.156484
 2.4626 0.156485 0.0958 0.156485 0.1438 0.156484
 2.4676 0.156485 0.0958 0.156484 0.1438 0.156484
 2.4726 0.156485 0.0958 0.156484 0.1438 0.156484
 2.4776 0.156485 0.0958 0.156484 0.1438 0.156484
 2.4826 0.156485 0.0958 0.156484 0.1438 0.156484
 2.4876 0.156485 0.0958 0.156484 0.1438 0.156484
 2.4926 0.156484 0.0958 0.156484 0.1438 0.156483
 2.4976 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5026 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5076 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5126 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5176 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5226 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5276 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5326 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5376 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5426 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5476 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5526 0.156484 0.0958 0.156483 0.1438 0.156483
 2.5576 0.156484 0.0958 0.156483 0.1438 0.156483
 2.5626 0.156484 0.0958 0.156483 0.1438 0.156483
 2.5676 0.156484 0.0958 0.156483 0.1438 0.156483
 2.5726 0.156484 0.0958 0.156483 0.1438 0.156483
 2.5776 0.156484 0.0958 0.156483 0.1438 0.156483
 2.5826 0.156484 0.0958 0.156483 0.1438 0.156483
 2.5876 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5926 0.156484 0.0958 0.156484 0.1438 0.156483
 2.5976 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6026 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6076 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6126 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6176 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6226 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6276 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6326 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6376 0.156484 0.0958 0.156484 0.1438 0.156483
 2.6426 0.156485 0.0958 0.156484 0.1438 0.156483
 2.6476 0.156485 0.0958 0.156484 0.1438 0.156484
 2.6526 0.156485 0.0958 0.156484 0.1438 0.156484
 2.6576 0.156485 0.0958 0.156484 0.1438 0.156484
 2.6626 0.156485 0.0958 0.156484 0.1438 0.156484
 2.6676 0.156485 0.0958 0.156484 0.1438 0.156484
 2.6726 0.156485 0.0958 0.156485 0.1438 0.156484
 2.6776 0.156485 0.0958 0.156485 0.1438 0.156484
 2.6826 0.156485 0.0958 0.156485 0.1438 0.156484
 2.6876 0.156485 0.0958 0.156485 0.1438 0.156484
 2.6926 0.156486 0.0958 0.156485 0.1438 0.156484
 2.6976 0.156486 0.0958 0.156485 0.1438 0.156485
 2.7026 0.156486 0.0958 0.156485 0.1438 0.156485
 2.7076 0.156486 0.0958 0.156485 0.1438 0.156485
 2.7126 0.156486 0.0958 0.156486 0.1438 0.156485
 2.7176 0.156486 0.0958 0.156486 0.1438 0.156485
 2.7226 0.156486 0.0958 0.156486 0.1438 0.156485
 2.7276 0.156487 0.0958 0.156486 0.1438 0.156485
 2.7326 0.156487 0.0958 0.156486 0.1438 0.156486
 2.7376 0.156487 0.0958 0.156486 0.1438 0.156486
 2.7426 0.156487 0.0958 0.156487 0.1438 0.156486
 2.7476 0.156487 0.0958 0.156487 0.1438 0.156486
 2.7526 0.156488 0.0958 0.156487 0.1438 0.156486
 2.7576 0.156488 0.0958 0.156487 0.1438 0.156486
 2.7626 0.156488 0.0958 0.156487 0.1438 0.156487
 2.7676 0.156488 0.0958 0.156488 0.1438 0.156487
 2.7726 0.156488 0.0958 0.156488 0.1438 0.156487
 2.7776 0.156489 0.0958 0.156488 0.1438 0.156487
 2.7826 0.156489 0.0958 0.156488 0.1438 0.156488
 2.7876 0.156489 0.0958 0.156489 0.1438 0.156488
 2.7926 0.156489 0.0958 0.156489 0.1438 0.156488
 2.7976 0.156490 0.0958 0.156489 0.1438 0.156488
 2.8026 0.156490 0.0958 0.156489 0.1438 0.156489
 2.8076 0.156490 0.0958 0.156490 0.1438 0.156489
 2.8126 0.156490 0.0958 0.156490 0.1438 0.156489
 2.8176 0.156491 0.0958 0.156490 0.1438 0.156489
 2.8226 0.156491 0.0958 0.156490 0.1438 0.156490
 2.8276 0.156491 0.0958 0.156491 0.1438 0.156490
 2.8326 0.156492 0.0958 0.156491 0.1438 0.156490
 2.8376 0.156492 0.0958 0.156491 0.1438 0.156490
 2.8426 0.156492 0.0958 0.156492 0.1438 0.156491
 2.8476 0.156493 0.0958 0.156492 0.1438 0.156491
 2.8526 0.156493 0.0958 0.156492 0.1438 0.156491
 2.8576 0.156493 0.0958 0.156493 0.1438 0.156492
 2.8626 0.156494 0.0958 0.156493 0.1438 0.156492
 2.8676 0.156494 0.0958 0.156493 0.1438 0.156492
 2.8726 0.156494 0.0958 0.156494 0.1438 0.156493
 2.8776 0.156495 0.0958 0.156494 0.1438 0.156493
 2.8826 0.156495 0.0958 0.156494 0.1438 0.156493
 2.8876 0.156496 0.0958 0.156495 0.1438 0.156494
 2.8926 0.156496 0.0958 0.156495 0.1438 0.156494
 2.8976 0.156496 0.0958 0.156496 0.1438 0.156495
 2.9026 0.156497 0.0958 0.156496 0.1438 0.156495
 2.9076 0.156497 0.0958 0.156496 0.1438 0.156495
 2.9126 0.156498 0.0958 0.156497 0.1438 0.156496
 2.9176 0.156498 0.0958 0.156497 0.1438 0.156496
 2.9226 0.156499 0.0958 0.156498 0.1438 0.156497
 2.9276 0.156499 0.0958 0.156498 0.1438 0.156497
 2.9326 0.156499 0.0958 0.156499 0.1438 0.156498
 2.9376 0.156500 0.0958 0.156499 0.1438 0.156498
 2.9426 0.156500 0.0958 0.156500 0.1438 0.156498
 2.9476 0.156501 0.0958 0.156500 0.1438 0.156499
 2.9526 0.156501 0.0958 0.156501 0.1438 0.156499
 2.9576 0.156502 0.0958 0.156501 0.1438 0.156500
 2.9626 0.156503 0.0958 0.156502 0.1438 0.156500
 2.9676 0.156503 0.0958 0.156502 0.1438 0.156501
 2.9726 0.156504 0.0958 0.156503 0.1438 0.156501
 2.9776 0.156504 0.0958 0.156503 0.1438 0.156502
 2.9826 0.156505 0.0958 0.156504 0.1438 0.156503
 2.9876 0.156505 0.0958 0.156504 0.1438 0.156503
 2.9926 0.156506 0.0958 0.156505 0.1438 0.156504
 2.9976 0.156507 0.0958 0.156506 0.1438 0.156504
 3.0026 0.156507 0.0958 0.156506 0.1438 0.156505
 3.0076 0.156508 0.0958 0.156507 0.1438 0.156505
 3.0126 0.156508 0.0958 0.156507 0.1438 0.156506
 3.0176 0.156509 0.0958 0.156508 0.1438 0.156507
 3.0226 0.156510 0.0958 0.156509 0.1438 0.156507
 3.0276 0.156511 0.0958 0.156509 0.1438 0.156508
 3.0326 0.156511 0.0958 0.156510 0.1438 0.156509
 3.0376 0.156512 0.0958 0.156511 0.1438 0.156509
 3.0426 0.156513 0.0958 0.156511 0.1438 0.156510
 3.0476 0.156513 0.0958 0.156512 0.1438 0.156511
 3.0526 0.156514 0.0958 0.156513 0.1438 0.156511
 3.0576 0.156515 0.0958 0.156514 0.1438 0.156512
 3.0626 0.156516 0.0958 0.156514 0.1438 0.156513
 3.0676 0.156516 0.0958 0.156515 0.1438 0.156513
 3.0726 0.156517 0.0958 0.156516 0.1438 0.156514
 3.0776 0.156518 0.0958 0.156517 0.1437 0.156515
 3.0826 0.156519 0.0958 0.156518 0.1437 0.156516
 3.0876 0.156520 0.0958 0.156518 0.1437 0.156517
 3.0926 0.156521 0.0958 0.156519 0.1437 0.156517
 3.0976 0.156522 0.0958 0.156520 0.1437 0.156518
 3.1026 0.156522 0.0958 0.156521 0.1437 0.156519
 3.1076 0.156523 0.0958 0.156522 0.1437 0.156520
 3.1126 0.156524 0.0958 0.156523 0.1437 0.156521
 3.1176 0.156525 0.0958 0.156524 0.1437 0.156522
 3.1226 0.156526 0.0958 0.156525 0.1437 0.156523
 3.1276 0.156527 0.0958 0.156526 0.1437 0.156524
 3.1326 0.156528 0.0958 0.156527 0.1437 0.156524
 3.1376 0.156529 0.0958 0.156528 0.1437 0.156525
 3.1426 0.156530 0.0958 0.156529 0.1437 0.156526
 3.1476 0.156531 0.0958 0.156530 0.1437 0.156527
 3.1526 0.156532 0.0958 0.156531 0.1437 0.156528
 3.1576 0.156533 0.0958 0.156532 0.1437 0.156529
 3.1626 0.156535 0.0958 0.156533 0.1437 0.156530
 3.1676 0.156536 0.0958 0.156534 0.1437 0.156532
 3.1726 0.156537 0.0958 0.156535 0.1437 0.156533
 3.1776 0.156538 0.0958 0.156536 0.1437 0.156534
 3.1826 0.156539 0.0958 0.156537 0.1437 0.156535
 3.1876 0.156540 0.0958 0.156538 0.1437 0.156536
 3.1926 0.156542 0.0958 0.156540 0.1437 0.156537
 3.1976 0.156543 0.0958 0.156541 0.1437 0.156538
 3.2026 0.156544 0.0958 0.156542 0.1437 0.156540
 3.2076 0.156546 0.0958 0.156543 0.1437 0.156541
 3.2126 0.156547 0.0958 0.156545 0.1437 0.156542
 3.2176 0.156548 0.0958 0.156546 0.1437 0.156543
 3.2226 0.156550 0.0958 0.156547 0.1437 0.156545
