/* Field profile:
/*    z Bz(axis)    rFT Bz(rmax)   rout Bz(rmax)
-0.6974 0.832824 0.0416 0.831471 0.0624 0.829818
-0.6924 0.832701 0.0416 0.831369 0.0624 0.829743
-0.6874 0.832657 0.0416 0.831343 0.0624 0.829739
-0.6824 0.832689 0.0416 0.831390 0.0624 0.829804
-0.6774 0.832797 0.0416 0.831510 0.0624 0.829938
-0.6724 0.832981 0.0416 0.831702 0.0624 0.830141
-0.6674 0.833240 0.0416 0.831966 0.0624 0.830412
-0.6624 0.833573 0.0415 0.832302 0.0623 0.830750
-0.6574 0.833980 0.0415 0.832708 0.0623 0.831155
-0.6524 0.834462 0.0415 0.833186 0.0623 0.831628
-0.6474 0.835020 0.0415 0.833736 0.0623 0.832169
-0.6424 0.835652 0.0415 0.834358 0.0623 0.832779
-0.6374 0.836360 0.0415 0.835053 0.0622 0.833457
-0.6324 0.837145 0.0415 0.835822 0.0622 0.834205
-0.6274 0.838008 0.0414 0.836665 0.0622 0.835024
-0.6224 0.838950 0.0414 0.837584 0.0621 0.835915
-0.6174 0.839973 0.0414 0.838580 0.0621 0.836879
-0.6124 0.841078 0.0414 0.839656 0.0621 0.837918
-0.6074 0.842267 0.0413 0.840812 0.0620 0.839034
-0.6024 0.843542 0.0413 0.842050 0.0620 0.840228
-0.5974 0.844905 0.0413 0.843374 0.0619 0.841503
-0.5924 0.846359 0.0412 0.844785 0.0619 0.842860
-0.5874 0.847907 0.0412 0.846286 0.0618 0.844304
-0.5824 0.849552 0.0412 0.847880 0.0618 0.845836
-0.5774 0.851296 0.0411 0.849570 0.0617 0.847459
-0.5724 0.853143 0.0411 0.851359 0.0616 0.849176
-0.5674 0.855098 0.0410 0.853251 0.0616 0.850992
-0.5624 0.857163 0.0410 0.855250 0.0615 0.852909
-0.5574 0.859344 0.0409 0.857359 0.0614 0.854932
-0.5524 0.861644 0.0409 0.859585 0.0613 0.857065
-0.5474 0.864070 0.0408 0.861930 0.0613 0.859313
-0.5424 0.866625 0.0408 0.864400 0.0612 0.861680
-0.5374 0.869315 0.0407 0.867001 0.0611 0.864171
-0.5324 0.872147 0.0406 0.869738 0.0610 0.866792
-0.5274 0.875126 0.0406 0.872618 0.0609 0.869550
-0.5224 0.878259 0.0405 0.875646 0.0608 0.872449
-0.5174 0.881553 0.0404 0.878829 0.0607 0.875496
-0.5124 0.885016 0.0403 0.882176 0.0606 0.878699
-0.5074 0.888656 0.0403 0.885692 0.0604 0.882065
-0.5024 0.892481 0.0402 0.889388 0.0603 0.885602
-0.4974 0.896499 0.0401 0.893270 0.0602 0.889318
-0.4924 0.900721 0.0400 0.897350 0.0600 0.893222
-0.4874 0.905155 0.0399 0.901635 0.0599 0.897323
-0.4824 0.909814 0.0398 0.906137 0.0598 0.901632
-0.4774 0.914707 0.0397 0.910866 0.0596 0.906159
-0.4724 0.919847 0.0396 0.915834 0.0594 0.910914
-0.4674 0.925245 0.0395 0.921054 0.0593 0.915912
-0.4624 0.930916 0.0393 0.926538 0.0591 0.921163
-0.4574 0.936872 0.0392 0.932299 0.0589 0.926681
-0.4524 0.943128 0.0391 0.938354 0.0587 0.932482
-0.4474 0.949699 0.0390 0.944717 0.0585 0.938580
-0.4424 0.956602 0.0388 0.951404 0.0583 0.944992
-0.4374 0.963852 0.0387 0.958432 0.0581 0.951736
-0.4324 0.971467 0.0385 0.965820 0.0579 0.958830
-0.4274 0.979466 0.0384 0.973587 0.0577 0.966294
-0.4224 0.987865 0.0382 0.981752 0.0574 0.974149
-0.4174 0.996685 0.0380 0.990337 0.0572 0.982418
-0.4124 1.005946 0.0379 0.999363 0.0569 0.991125
-0.4074 1.015666 0.0377 1.008853 0.0566 1.000295
-0.4024 1.025865 0.0375 1.018829 0.0564 1.009955
-0.3974 1.036564 0.0373 1.029315 0.0561 1.020133
